"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 06 21:27:30 EET 2023","Mon Feb 06 21:27:31 EET 2023","1755","","End-To-End Shopping","","","","Checkout withouth setting a first name",""
"passed","Mon Feb 06 21:27:48 EET 2023","Mon Feb 06 21:27:50 EET 2023","1408","","Product Page","","","","Check product description",""
"passed","Mon Feb 06 21:27:32 EET 2023","Mon Feb 06 21:27:33 EET 2023","1700","","End-To-End Shopping","","","","Checkout withouth setting a last name",""
"passed","Mon Feb 06 21:27:47 EET 2023","Mon Feb 06 21:27:48 EET 2023","1303","","Product Page","","","","Adding and removing products from the shopping cart",""
"passed","Mon Feb 06 21:27:51 EET 2023","Mon Feb 06 21:27:52 EET 2023","1230","","Product Page","","","","Add a product to cart and remove it",""
"passed","Mon Feb 06 21:27:42 EET 2023","Mon Feb 06 21:27:43 EET 2023","724","","Login page","","","","Incorrect Password Login",""
"passed","Mon Feb 06 21:27:50 EET 2023","Mon Feb 06 21:27:51 EET 2023","1097","","Product Page","","","","Product Filtering",""
"passed","Mon Feb 06 21:27:43 EET 2023","Mon Feb 06 21:27:43 EET 2023","849","","Login page","","","","Problem user Login",""
"passed","Mon Feb 06 21:27:40 EET 2023","Mon Feb 06 21:27:41 EET 2023","1097","","Login page","","","","Blocked Login",""
"passed","Mon Feb 06 21:27:27 EET 2023","Mon Feb 06 21:27:30 EET 2023","2856","","End-To-End Shopping","","","","Shopping E2E",""
"passed","Mon Feb 06 21:27:33 EET 2023","Mon Feb 06 21:27:35 EET 2023","1649","","End-To-End Shopping","","","","Checkout withouth setting a postal code",""
"passed","Mon Feb 06 21:27:39 EET 2023","Mon Feb 06 21:27:40 EET 2023","972","","Login page","","","","Sucess Login",""
"passed","Mon Feb 06 21:27:52 EET 2023","Mon Feb 06 21:27:53 EET 2023","1227","","Product Page","","","","Adding several products and removing one product from the shopping cart",""
"passed","Mon Feb 06 21:27:41 EET 2023","Mon Feb 06 21:27:42 EET 2023","756","","Login page","","","","Incorrect Username Login",""
